sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
1|1|PAN|FRANCISCO JAVIER LUEVANO NUÑEZ|GUSTAVO ARMENDARIZ VIRAMONTES
1|1|PRI|NORMA ESPARZA HERRERA|FABIOLA MEDINA DE LUNA
1|1|PRD|FRANCISCO JAVIER LUEVANO NUÑEZ|GUSTAVO ARMENDARIZ VIRAMONTES
1|1|PVEM|SAMANTHA WENDOLYN REYES MARTÍNEZ|ALBA VIVIANA GUTIERREZ VEGA
1|1|PT|RAFAEL CALDERON ZAMARRIPA|ANTONIO ALBERTO MARTINEZ RODRIGUEZ
1|1|MC|FRANCISCO JAVIER LUEVANO NUÑEZ|GUSTAVO ARMENDARIZ VIRAMONTES
1|1|PANAL|ARTURO ZAPATA RANGEL|JOSE ALEJANDRO ARELLANO MUÑOZ
1|1|MORENA|RAFAEL CALDERON ZAMARRIPA|ANTONIO ALBERTO MARTINEZ RODRIGUEZ
1|1|PES|RAFAEL CALDERON ZAMARRIPA|ANTONIO ALBERTO MARTINEZ RODRIGUEZ
1|1|PAN-PRD-MC|FRANCISCO JAVIER LUEVANO NUÑEZ|GUSTAVO ARMENDARIZ VIRAMONTES
1|1|PAN-PRD|FRANCISCO JAVIER LUEVANO NUÑEZ|GUSTAVO ARMENDARIZ VIRAMONTES
1|1|PAN-MC|FRANCISCO JAVIER LUEVANO NUÑEZ|GUSTAVO ARMENDARIZ VIRAMONTES
1|1|PRD-MC|FRANCISCO JAVIER LUEVANO NUÑEZ|GUSTAVO ARMENDARIZ VIRAMONTES
1|1|PT-MORENA-PES|RAFAEL CALDERON ZAMARRIPA|ANTONIO ALBERTO MARTINEZ RODRIGUEZ
1|1|PT-MORENA|RAFAEL CALDERON ZAMARRIPA|ANTONIO ALBERTO MARTINEZ RODRIGUEZ
1|1|PT-PES|RAFAEL CALDERON ZAMARRIPA|ANTONIO ALBERTO MARTINEZ RODRIGUEZ
1|1|MORENA-PES|RAFAEL CALDERON ZAMARRIPA|ANTONIO ALBERTO MARTINEZ RODRIGUEZ
1|2|PAN|LEONARDO MONTAÑEZ CASTRO|JOSE ROBERTO DOMINGUEZ LARA
1|2|PRI|JOSE CARLOS LOZANO RIVERA RIO|ABNER ABED RAMOS MICHAUS
1|2|PRD|LEONARDO MONTAÑEZ CASTRO|JOSE ROBERTO DOMINGUEZ LARA
1|2|PVEM|JESUS EDUARDO MUÑOZ DE LEON|EFRAIN VAZQUEZ SALAS
1|2|PT|ELBA LORENA TORRES DIAZ|HAYDEE HERNANDEZ MUÑOZ
1|2|MC|LEONARDO MONTAÑEZ CASTRO|JOSE ROBERTO DOMINGUEZ LARA
1|2|PANAL|ARMANDO QUEZADA CHAVEZ|NUMENI GIOVANNI ARANDA RIVERA
1|2|MORENA|ELBA LORENA TORRES DIAZ|HAYDEE HERNANDEZ MUÑOZ
1|2|PES|ELBA LORENA TORRES DIAZ|HAYDEE HERNANDEZ MUÑOZ
1|2|PAN-PRD-MC|LEONARDO MONTAÑEZ CASTRO|JOSE ROBERTO DOMINGUEZ LARA
1|2|PAN-PRD|LEONARDO MONTAÑEZ CASTRO|JOSE ROBERTO DOMINGUEZ LARA
1|2|PAN-MC|LEONARDO MONTAÑEZ CASTRO|JOSE ROBERTO DOMINGUEZ LARA
1|2|PRD-MC|LEONARDO MONTAÑEZ CASTRO|JOSE ROBERTO DOMINGUEZ LARA
1|2|PT-MORENA-PES|ELBA LORENA TORRES DIAZ|HAYDEE HERNANDEZ MUÑOZ
1|2|PT-MORENA|ELBA LORENA TORRES DIAZ|HAYDEE HERNANDEZ MUÑOZ
1|2|PT-PES|ELBA LORENA TORRES DIAZ|HAYDEE HERNANDEZ MUÑOZ
1|2|MORENA-PES|ELBA LORENA TORRES DIAZ|HAYDEE HERNANDEZ MUÑOZ
1|3|PAN|MARTHA ELISA GONZALEZ ESTRADA|CLAUDIA PATRICIA TORRES LOPEZ
1|3|PRI|LIZETTE IVON GONZALEZ MARTINEZ|KARINA GUADALUPE DE ALBA MUÑOZ
1|3|PRD|MARTHA ELISA GONZALEZ ESTRADA|CLAUDIA PATRICIA TORRES LOPEZ
1|3|PVEM|LESLI CAROLINA LOPEZ VELARDE VELOZ|MARIA ELIZABETH GARCIA OCAMPO
1|3|PT|DULCE MARGARITA ARELLANO GOURCY|MA DEL REFUGIO CRUZ PIÑA
1|3|MC|MARTHA ELISA GONZALEZ ESTRADA|CLAUDIA PATRICIA TORRES LOPEZ
1|3|PANAL|PATRICIA RAMIREZ CASTAÑEDA|KARINA MARTINEZ PAREDES
1|3|MORENA|DULCE MARGARITA ARELLANO GOURCY|MA DEL REFUGIO CRUZ PIÑA
1|3|PES|DULCE MARGARITA ARELLANO GOURCY|MA DEL REFUGIO CRUZ PIÑA
1|3|PAN-PRD-MC|MARTHA ELISA GONZALEZ ESTRADA|CLAUDIA PATRICIA TORRES LOPEZ
1|3|PAN-PRD|MARTHA ELISA GONZALEZ ESTRADA|CLAUDIA PATRICIA TORRES LOPEZ
1|3|PAN-MC|MARTHA ELISA GONZALEZ ESTRADA|CLAUDIA PATRICIA TORRES LOPEZ
1|3|PRD-MC|MARTHA ELISA GONZALEZ ESTRADA|CLAUDIA PATRICIA TORRES LOPEZ
1|3|PT-MORENA-PES|DULCE MARGARITA ARELLANO GOURCY|MA DEL REFUGIO CRUZ PIÑA
1|3|PT-MORENA|DULCE MARGARITA ARELLANO GOURCY|MA DEL REFUGIO CRUZ PIÑA
1|3|PT-PES|DULCE MARGARITA ARELLANO GOURCY|MA DEL REFUGIO CRUZ PIÑA
1|3|MORENA-PES|DULCE MARGARITA ARELLANO GOURCY|MA DEL REFUGIO CRUZ PIÑA
2|1|PAN|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PRI|CELESTINO SALCEDO FLORES|RUBEN CAMACHO LEDON
2|1|PRD|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PVEM|MARCO AURELIO GAMEZ SERVIN|FIDEL SANTOYO CRUZ
2|1|PT|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|MC|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PANAL|JOSÉ ALBERTO MARTÍNEZ CARRILLO|ROGELIO ESPINOZA GUERRA
2|1|MORENA|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|PES|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|PAN-PRD-MC|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PAN-PRD|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PAN-MC|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PRD-MC|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PT-MORENA-PES|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|PT-MORENA|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|PT-PES|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|MORENA-PES|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|2|PAN|MONICA BEDOYA SERNA|ROSA MARIA GERALDO GARCIA
2|2|PRI|JOSE LAURO ARESTEGUI VERDUGO|MARCO ANAXIMANDRO CASTILLO JIMENEZ
