ESTADO,DISTRITO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
1,1,PAN,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PRI,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PRD,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PVEM,CLAUDIA BRISEIDA CHAVEZ RAMIREZ,MELANNIE ITZAYANA REYES MARTINEZ
1,1,PT,JUAN MANUEL DE LOERA MARQUEZ,LILIA RODRIGUEZ GUERRERO
1,1,MC,NORMA ISABEL ZAMORA RODRIGUEZ,LUZ MARIA PADILLA DE LUNA
1,1,MORENA,RAFAEL CALDERON ZAMARRIPA,JUAN JOSE RUIZ ESCOBAR
1,1,PES,MARTHA ESPERANZA CAMPOS ZAMBRANO,PATRICIA MUÑOZ RAMIREZ
1,1,RSP,JORGE EMIR CRAVIOTO QUEZADA,FRANCISCO GERARDO FLORES CORREA
1,1,FXM,PATRICIA DEL CARMEN RAMIREZ DE LARA,CLAUDIA MARGARITA GOMEZ GARCIA
1,1,PAN-PRI-PRD,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PAN-PRI,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PAN-PRD,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PRI-PRD,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PAN,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PRI,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PRD,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PVEM,CLAUDIA BRISEIDA CHAVEZ RAMIREZ,MELANNIE ITZAYANA REYES MARTINEZ
1,1,PT,JUAN MANUEL DE LOERA MARQUEZ,LILIA RODRIGUEZ GUERRERO
1,1,MC,NORMA ISABEL ZAMORA RODRIGUEZ,LUZ MARIA PADILLA DE LUNA
1,1,MORENA,RAFAEL CALDERON ZAMARRIPA,JUAN JOSE RUIZ ESCOBAR
1,1,PES,MARTHA ESPERANZA CAMPOS ZAMBRANO,PATRICIA MUÑOZ RAMIREZ
1,1,RSP,JORGE EMIR CRAVIOTO QUEZADA,FRANCISCO GERARDO FLORES CORREA
1,1,FXM,PATRICIA DEL CARMEN RAMIREZ DE LARA,CLAUDIA MARGARITA GOMEZ GARCIA
1,1,PAN-PRI-PRD,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PAN-PRI,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PAN-PRD,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PRI-PRD,NOEL MATA ATILANO,ARNULFO FEDERICO VARGAS GOMEZ
1,1,PAN,,
1,1,PRI,,
1,1,PRD,,
1,1,PVEM,,
1,1,PT,,
1,1,MC,,
1,1,MORENA,,
1,1,PES,,
1,1,RSP,,
1,1,FXM,,
1,2,PAN,MONICA BECERRA MORENO,LAURA PATRICIA AHEDO BARCENAS
1,2,PRI,ROBERTO LAMAS DE ALBA,ALEJANDRO LENIN RUELAS CALDERON
1,2,PRD,LUIS ERNESTO GUTIERREZ BERDEJA,EDGAR ALAN LUEVANO NUÑEZ
1,2,PVEM,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PT,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,MC,PAOLA NADINE CORTES CALZADA,ITZEL IVVETHE TELLEZ MARMOLEJO
1,2,MORENA,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PES,VERONICA DAMARIS DIAZ RAMIREZ,LUCIA JANETTE NUÑEZ GALLEGOS
1,2,RSP,TEODULO NUÑEZ LEAÑOS,JULIO AMADOR RODRIGUEZ
1,2,FXM,CECILIA ARLETTE HERNANDEZ TAPIA,ANA GALVAN GUERRERO
1,2,PVEM-PT-MORENA,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PVEM-PT,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PVEM-MORENA,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PT-MORENA,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PAN,MONICA BECERRA MORENO,LAURA PATRICIA AHEDO BARCENAS
1,2,PRI,ROBERTO LAMAS DE ALBA,ALEJANDRO LENIN RUELAS CALDERON
1,2,PRD,LUIS ERNESTO GUTIERREZ BERDEJA,EDGAR ALAN LUEVANO NUÑEZ
1,2,PVEM,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PT,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,MC,PAOLA NADINE CORTES CALZADA,ITZEL IVVETHE TELLEZ MARMOLEJO
1,2,MORENA,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PES,VERONICA DAMARIS DIAZ RAMIREZ,LUCIA JANETTE NUÑEZ GALLEGOS
1,2,RSP,TEODULO NUÑEZ LEAÑOS,JULIO AMADOR RODRIGUEZ
1,2,FXM,CECILIA ARLETTE HERNANDEZ TAPIA,ANA GALVAN GUERRERO
1,2,PVEM-PT-MORENA,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PVEM-PT,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PVEM-MORENA,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PT-MORENA,ELBA LORENA TORRES DIAZ,PAMELA RESENDIZ LOPEZ
1,2,PAN,,
1,2,PRI,,
1,2,PRD,,
1,2,PVEM,,
1,2,PT,,
1,2,MC,,
1,2,MORENA,,
1,2,PES,,
1,2,RSP,,
1,2,FXM,,
1,3,PAN,PAULO GONZALO MARTINEZ LOPEZ,JOSE DE JESUS ORTIZ DOMINGUEZ
1,3,PRI,LUIS FRANCISCO GERARDO PONCE MORAN,JUAN CARLOS LOPEZ HERNANDEZ
1,3,PRD,SUSAN ANY MUÑOZ RODRIGUEZ,SILVIA ARELI LOPEZ RAMIREZ
1,3,PVEM,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PT,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,MC,FRANCE SVETLANA FARIAS CARRILLO,PATRICIA VALADEZ BUSTAMANTE
1,3,MORENA,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PES,DAVID PEREZ CALLEJA,PATRICIA MIROSLAVA DIAZ GONZALEZ
1,3,RSP,ANA LILIA MUÑOZ ARMENTA,LADY DIANA SILVA MUÑOZ
1,3,FXM,MARIA FERNANDA CAMPOS ATRISTAIN,MARIA GEORGINA RODRIGUEZ TORRES
1,3,PVEM-PT-MORENA,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PVEM-PT,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PVEM-MORENA,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PT-MORENA,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PAN,PAULO GONZALO MARTINEZ LOPEZ,JOSE DE JESUS ORTIZ DOMINGUEZ
1,3,PRI,LUIS FRANCISCO GERARDO PONCE MORAN,JUAN CARLOS LOPEZ HERNANDEZ
1,3,PRD,SUSAN ANY MUÑOZ RODRIGUEZ,SILVIA ARELI LOPEZ RAMIREZ
1,3,PVEM,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PT,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,MC,FRANCE SVETLANA FARIAS CARRILLO,PATRICIA VALADEZ BUSTAMANTE
1,3,MORENA,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PES,DAVID PEREZ CALLEJA,PATRICIA MIROSLAVA DIAZ GONZALEZ
1,3,RSP,ANA LILIA MUÑOZ ARMENTA,LADY DIANA SILVA MUÑOZ
1,3,FXM,MARIA FERNANDA CAMPOS ATRISTAIN,MARIA GEORGINA RODRIGUEZ TORRES
1,3,PVEM-PT-MORENA,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PVEM-PT,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PVEM-MORENA,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PT-MORENA,AIDA KARINA BANDA IGLESIAS,LOURDES YOLANDA HERNANDEZ MUÑOZ
1,3,PAN,,
1,3,PRI,,
1,3,PRD,,
1,3,PVEM,,
1,3,PT,,
1,3,MC,,
1,3,MORENA,,
1,3,PES,,
1,3,RSP,,
1,3,FXM,,
2,1,PAN,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PRI,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PRD,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PVEM,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,PT,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,MC,JOSE LUIS MEJIA OJEDA,JUAN MANUEL MANRIQUEZ 
2,1,MORENA,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,PES,RUMUALDO LEONEL SILVA RIVERA,FRANCISCO JAVIER ARIAS LEON
2,1,RSP,AVELINO EDUARDO RUIZ ESQUER,JOSE ANTONIO ARCE DUARTE
2,1,FXM,DANIELA LOPEZ GUZMAN,YADIRA GUADALUPE FISCAL ENRIQUEZ
2,1,PAN-PRI-PRD,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PAN-PRI,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PAN-PRD,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PRI-PRD,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PVEM-PT-MORENA,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,PVEM-PT,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,PVEM-MORENA,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,PT-MORENA,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,PAN,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PRI,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PRD,HECTOR GUZMAN HERNANDEZ,EDWVIGES PIO RODRIGUEZ
2,1,PVEM,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,PT,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
2,1,MC,JOSE LUIS MEJIA OJEDA,JUAN MANUEL MANRIQUEZ 
2,1,MORENA,YESSENIA LETICIA OLUA GONZALEZ,ROSSY STEPHANIE GOMEZ REYES
